Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000263,Shepherd's Bush Green,Hammersmith and Fulham,0.82,11175.26,79.88,7.9,108.71,7.6,0.58,174.43,0.575241813,7.866022729
E05000264,Town,Hammersmith and Fulham,0.84,16815.38,83.02,6.9,413.37,3.91,0.18,123.03,0.178646526,7.730176226
E05000265,Wormholt and White City,Hammersmith and Fulham,0.83,14807.52,81.44,6.3,126.02,9.72,0.37,110.4,0.37363129,7.866022729
E05000266,Alexandra,Haringey,0.86,4896.67,82.55,4.6,1186.18,3.39,0.59,139.86,0.592138531,7.454470569
E05000267,Bounds Green,Haringey,0.84,10979.05,79.38,2.6,226.94,8.2,0.44,109.89,0.436176361,7.478363578
E05000268,Bruce Grove,Haringey,0.79,16674.54,80.1,4.5,51.63,14.65,0.55,125.39,0.551130801,7.399974575
E05000269,Crouch End,Haringey,0.89,9543.06,82.84,7.6,272.97,3.11,0.32,104.82,0.321985776,7.454470569
E05000270,Fortis Green,Haringey,0.87,7025.58,81.97,5.1,496.5,3.19,1.44,92.29,1.438145551,7.454470569
E05000271,Harringay,Haringey,0.84,9486.56,80.99,6.8,467.15,8.91,0.08,139.13,0.075177323,7.454470569
E05000272,Highgate,Haringey,0.84,5210.08,84.29,5.9,1857.71,4.91,0.51,98.1,0.514659607,7.454470569
E05000273,Hornsey,Haringey,0.84,12784.83,80.15,6.9,122.91,8.41,0.79,88.85,0.788177127,7.454470569
E05000274,Muswell Hill,Haringey,0.89,7438.26,83.18,6.6,469.54,2.98,0.37,98.75,0.370086582,7.454470569
E05000275,Noel Park,Haringey,0.8,12606.5,81.03,3.2,98.08,11.62,1.72,220.37,1.717919664,7.478363578
E05000276,Northumberland Park,Haringey,0.79,8887.41,79.11,2.2,460.54,20.64,0.97,111.42,0.968088429,7.478363578
E05000278,Seven Sisters,Haringey,0.81,13842.88,79.83,5.3,261.61,10.15,0.25,101.87,0.249938233,7.399974575
E05000279,Stroud Green,Haringey,0.86,11724.2,81.5,9,192.18,5.51,0.42,109.7,0.424287049,7.454470569
E05000281,Tottenham Hale,Haringey,0.81,9797.49,79.62,2.3,533.65,11.53,2.65,137.51,2.649371813,7.399974575
E05000282,West Green,Haringey,0.81,10454.22,81.19,4.2,463.63,11.72,0.97,112.7,0.969996599,7.399974575
E05000283,White Hart Lane,Haringey,0.79,8144.96,78.35,2.2,496.74,14.32,1.26,107.22,1.262884984,7.478363578
E05000284,Woodside,Haringey,0.83,10800.94,80.65,2.2,697.73,8.21,0.69,85.69,0.687442073,7.478363578
E05000285,Belmont,Harrow,0.85,6554.81,84.5,0.5,274.54,2.86,0.35,70.15,0.350523086,7.46165132
E05000286,Canons,Harrow,0.81,2600.78,84.54,0.5,3268.56,3.08,0.08,52.31,0.079704582,7.46165132
E05000287,Edgware,Harrow,0.84,9506.07,84.45,0.4,2923.16,4.22,0.26,76.93,0.255898698,7.46165132
E05000288,Greenhill,Harrow,0.85,9259.87,81.46,0.9,231.07,5.12,0.16,96.42,0.160063743,7.352077376
E05000289,Harrow on the Hill,Harrow,0.86,3707.13,82.01,1,1886.3,3.52,0.24,68.49,0.243030768,7.352077376
E05000290,Harrow Weald,Harrow,0.81,2572.46,83.02,0.6,2784.55,4.73,0.52,79.4,0.52425941,7.352077376
E05000291,Hatch End,Harrow,0.84,3322.16,83.88,0.6,976.32,2.19,0.09,63.33,0.092957621,7.352077376
E05000292,Headstone North,Harrow,0.85,3308.65,85.51,1,1580.7,2.38,0,55.52,0,7.372779301
E05000293,Headstone South,Harrow,0.85,8259.23,84.38,1.4,184.07,3.71,0,52.49,0,7.372779301
E05000294,Kenton East,Harrow,0.81,8690.87,83.11,0.2,114.03,3.76,0.62,60.78,0.624705593,7.46165132
E05000295,Kenton West,Harrow,0.83,6520.68,83.12,0.5,306.95,3.01,0.8,67.09,0.800676862,7.46165132
E05000296,Marlborough,Harrow,0.85,7921.02,83.04,1.4,216.04,6.14,0.41,74.88,0.405414733,7.352077376
E05000297,Pinner,Harrow,0.84,3176.76,84.77,0.9,1083.06,2.81,0.3,67.56,0.297425446,7.372779301
E05000298,Pinner South,Harrow,0.86,4590.74,86.21,0.9,528.61,1.94,0.29,51.38,0.286426619,7.372779301
E05000299,Queensbury,Harrow,0.82,7680.1,82.53,0.4,336.99,4.3,0.41,79.76,0.414717891,7.46165132
E05000300,Rayners Lane,Harrow,0.84,7475.16,84.29,0.7,188.6,2.98,0.09,59.44,0.089355973,7.372779301
E05000301,Roxbourne,Harrow,0.82,8689.91,82.23,0.7,332.45,5.34,0.39,68.84,0.387432118,7.372779301
E05000302,Roxeth,Harrow,0.85,7413.07,83.19,0.9,335.99,4.91,0.26,87.08,0.255679287,7.372779301
E05000303,Stanmore Park,Harrow,0.8,2727.11,83.29,0.9,2163.75,3,0.97,69.14,0.973724665,7.46165132
E05000304,Wealdstone,Harrow,0.83,10514.67,78.98,1,86.04,6.64,0.44,89.99,0.436192664,7.352077376
E05000305,West Harrow,Harrow,0.84,6885.6,83.12,1.2,309.18,4.02,0.1,58.12,0.0958253,7.372779301
E05000307,Cranham,Havering,0.82,2002.75,83.88,0.7,3824.26,2.6,0.56,48.93,0.557179493,7.736354628
E05000308,Elm Park,Havering,0.8,3649.85,82.04,1,1791.33,5.18,1.12,72.93,1.119901281,7.736354628
E05000309,Emerson Park,Havering,0.84,2672.77,82.3,0.6,1511.28,2.31,0.42,64.97,0.416294605,7.923058603
E05000310,Gooshays,Havering,0.77,2120.99,79.1,0.8,4980.88,8.84,3.12,106.93,3.122164204,7.71664998
E05000311,Hacton,Havering,0.83,5095.08,82.5,0.8,511.73,3.15,0.16,45.63,0.162647545,7.736354628
E05000312,Harold Wood,Havering,0.82,1945.37,81.48,0.8,4656.65,4.76,1.58,67,1.576588296,7.71664998
E05000313,Havering Park,Havering,0.8,1384.76,79.09,0.7,8001.77,6.2,0.84,69.8,0.843777929,7.71664998
E05000314,Heaton,Havering,0.77,4183.6,79.88,0.9,1819.99,8.92,1.27,88.06,1.269297817,7.71664998
E05000315,Hylands,Havering,0.83,4611.3,83.54,1,774.49,3.16,1,81.03,1.000887683,7.923058603
E05000316,Mawneys,Havering,0.81,4444.41,83.16,1.1,551.05,4.69,0.46,80.99,0.46327159,7.71664998
E05000318,Rainham and Wennington,Havering,0.81,778.17,81.2,0.8,12520.29,5.16,0.96,88.63,0.95868492,7.736354628
E05000321,South Hornchurch,Havering,0.81,2260.84,79.61,1.2,2900.06,7.19,1.47,94.89,1.472522294,7.736354628
E05000322,Squirrel's Heath,Havering,0.85,5360.54,82.77,0.7,391.15,3.85,0.45,64.25,0.45347526,7.923058603
E05000323,Upminster,Havering,0.83,589.33,81.61,0.7,18471.51,1.57,0.62,56.45,0.621642389,7.736354628
E05000324,Barnhill,Hillingdon,0.83,6747.05,79.12,1.2,981.34,6.79,1.48,134.34,1.478657222,7.155184976
E05000328,Charville,Hillingdon,0.83,4455.77,81.39,1.4,1548.35,3.96,1.02,84.1,1.024100748,7.155184976
E05000329,Eastcote and East Ruislip,Hillingdon,0.85,3583.79,85.36,1.2,1478.49,2.04,0.25,69.7,0.245673624,7.658076624
E05000330,Harefield,Hillingdon,0.82,521.81,80.07,1.4,11628.26,2.89,2.02,63.79,2.015792098,7.658076624
E05000331,Heathrow Villages,Hillingdon,0.85,588.1,80.71,1.4,12209.78,3.79,1.71,67.1,1.711679976,7.719682902
E05000332,Hillingdon East,Hillingdon,0.84,3851.98,80.35,1.5,1927.63,4.32,0.62,91.88,0.616347776,7.460166286
E05000333,Ickenham,Hillingdon,0.85,1784.6,84.55,1.6,3261.74,1.47,0.57,55.63,0.57436587,7.658076624
E05000334,Manor,Hillingdon,0.86,6212.26,82.89,1.1,390.69,2.01,0.26,82.26,0.260703474,7.658076624
E05000335,Northwood,Hillingdon,0.83,1533.22,83.77,0.8,4626.55,2.44,0.09,64.4,0.094977844,7.658076624
E05000336,Northwood Hills,Hillingdon,0.84,3755.41,83.48,1,1202.75,2.65,0.77,66.43,0.772923427,7.658076624
E05000337,Pinkwell,Hillingdon,0.84,5936.59,81.18,1.1,958.99,6.18,1.55,112.89,1.548684914,7.719682902
E05000338,South Ruislip,Hillingdon,0.85,1821.75,81.25,2,4256.46,3.47,1.13,76.92,1.125891515,7.658076624
E05000340,Uxbridge North,Hillingdon,0.86,3271.1,81.67,1.5,1887.85,2.83,0.41,91.69,0.412650668,7.460166286
E05000341,Uxbridge South,Hillingdon,0.86,4997.75,80.31,2.1,865.29,3.85,0.43,70.67,0.426778617,7.460166286
E05000342,West Drayton,Hillingdon,0.83,5362.18,78.57,1.9,1150.63,5.21,1.94,101.83,1.937442267,7.719682902
E05000343,West Ruislip,Hillingdon,0.85,2788.38,82.4,1.5,2264.98,1.87,0.94,83.45,0.937068183,7.658076624
E05000344,Yeading,Hillingdon,0.84,6387.22,81.69,1.6,847.86,5.86,1.1,134.92,1.097809932,7.155184976
E05000345,Yiewsley,Hillingdon,0.83,3693.25,79.59,2.2,1665.42,5.06,2.68,100.48,2.681355013,7.719682902
E05000346,Bedfont,Hounslow,0.82,3082.53,79.66,3,2340.21,5.47,2.2,81.79,2.196395109,7.48624498
E05000347,Brentford,Hounslow,0.86,5769.69,81.94,5,1379.35,4,0.49,70.63,0.485898667,7.746910295
E05000348,Chiswick Homefields,Hounslow,0.88,5420.66,82.11,6.9,753.63,2.16,0.53,106.65,0.526864363,7.746910295
E05000349,Chiswick Riverside,Hounslow,0.88,5891.88,84.57,7,541.43,2.66,0.26,105.89,0.258936284,7.746910295
E05000350,Cranford,Hounslow,0.81,4969.15,79.95,1.8,878.53,6.04,0.4,95.12,0.404014805,7.461775288
E05000351,Feltham North,Hounslow,0.8,3492.61,77.06,2.9,1202.26,4.49,1.38,82.48,1.378604874,7.48624498
E05000352,Feltham West,Hounslow,0.87,5071.65,81.1,2.9,1546.88,4.39,2.24,107.1,2.24377568,7.48624498
E05000353,Hanworth,Hounslow,0.82,3852.05,81.81,3.5,1362.23,6.48,0.49,103.9,0.491797866,7.48624498
E05000354,Hanworth Park,Hounslow,0.84,3390,80.91,2.7,1739.25,3.76,0.96,89.41,0.960668444,7.48624498
E05000355,Heston Central,Hounslow,0.82,7848.07,80.35,1.5,309.39,4.57,0.24,107.24,0.243237429,7.461775288
E05000356,Heston East,Hounslow,0.83,6592.81,84.18,1.1,661.95,4.4,0.32,92.79,0.32350045,7.461775288
E05000357,Heston West,Hounslow,0.82,3515.4,80.58,1.2,1964.52,6.96,1.2,108.93,1.201520152,7.461775288
E05000358,Hounslow Central,Hounslow,0.88,10271.31,82.65,1.5,311.62,3.89,0.79,181.37,0.788160467,7.487639323
E05000359,Hounslow Heath,Hounslow,0.84,5607.1,82.1,2,1478.38,5.62,0.95,108.82,0.947118024,7.487639323
E05000360,Hounslow South,Hounslow,0.84,6825.43,85.18,3.5,385.71,2.96,0.61,83.38,0.611334464,7.487639323
E05000361,Hounslow West,Hounslow,0.82,9239.98,78.38,1.5,208.69,4.64,0.31,133.59,0.314836628,7.487639323
E05000362,Isleworth,Hounslow,0.85,6329.89,78.89,4.7,476.99,4.52,0.58,90.77,0.582291356,7.487639323
E05000363,Osterley and Spring Grove,Hounslow,0.86,2246.49,82.24,2.8,3583.29,2.92,0.61,64.61,0.611649457,7.461775288
E05000364,Syon,Hounslow,0.85,5447.05,77.62,4.4,1042.41,4.1,0.44,80.16,0.441036082,7.746910295
E05000366,Barnsbury,Islington,0.85,16680.72,79.13,9.7,123.16,4.78,0.33,147.16,0.327563879,7.554691762
E05000367,Bunhill,Islington,0.85,16752.07,79.45,7.3,132.82,6.31,0.96,45.58,0.955538226,7.493293817
E05000368,Caledonian,Islington,0.81,14181.02,80.06,8.2,163.55,6.05,0.5,83.16,0.50331477,7.554691762
E05000369,Canonbury,Islington,0.81,16596.03,80.38,9,106.94,6.47,0.66,146.03,0.662128377,7.493293817
E05000370,Clerkenwell,Islington,0.83,13552.94,82.48,8.4,108.87,5.1,0.87,66.12,0.869583743,7.493293817
E05000371,Finsbury Park,Islington,0.78,18144.1,77.34,8.2,71.63,9.34,0.9,192.2,0.904650534,7.822011109
E05000372,Highbury East,Islington,0.85,13720.12,80.33,12.9,163.19,4.45,0.69,119.91,0.687056366,7.822011109
E05000373,Highbury West,Islington,0.85,17292.05,79.98,10.2,107.14,5.86,0.8,72.62,0.797725925,7.822011109
E05000374,Hillrise,Islington,0.81,16156.36,78.86,8,147.12,7.36,0.51,104.48,0.508301706,7.380247901
E05000375,Holloway,Islington,0.82,16853.32,78.68,8.8,153.51,6.55,0.4,102.64,0.400114151,7.554691762
E05000376,Junction,Islington,0.81,12952.33,78.34,9.4,142.21,6.58,0.58,96.29,0.581626781,7.380247901
E05000377,Mildmay,Islington,0.82,17590.8,80.59,13.2,89.85,6.82,0.54,133.07,0.541461798,7.822011109
E05000381,Tollington,Islington,0.82,17218.42,78.95,9.5,90.79,7.61,1.2,128.64,1.200993729,7.380247901
E05000382,Abingdon,Kensington and Chelsea,0.9,17319.55,84.8,4.7,43.74,2.82,0,84.35,0,7.769917653
E05000383,Brompton,Kensington and Chelsea,0.91,9503.66,85.33,2.9,105.05,1.55,0.23,107.95,0.226768792,7.813124329
E05000384,Campden,Kensington and Chelsea,0.91,9224.78,88.55,5,216.59,1.31,0.12,100.62,0.122548872,7.769917653
E05000385,Colville,Kensington and Chelsea,0.83,20762.15,83.13,7.7,30.6,6.12,0.36,209.56,0.358912979,7.80120069
E05000386,Courtfield,Kensington and Chelsea,0.92,17697.1,86.51,3.7,52.94,2.7,0.11,115.72,0.112191277,7.813124329
E05000388,Earl's Court,Kensington and Chelsea,0.85,21572.98,83.27,3.8,36.97,4.97,0.11,133.26,0.110083993,7.769917653
E05000389,Golborne,Kensington and Chelsea,0.76,9768.18,81.71,5.9,300.11,11.89,0.11,125.62,0.112141062,7.80120069
E05000391,Holland,Kensington and Chelsea,0.88,9478.34,88.8,4.5,227.66,2.82,0,102.3,0,7.769917653
E05000392,Norland,Kensington and Chelsea,0.89,11799.17,83.64,5.8,89.54,4.99,0.23,88.28,0.231055833,7.80120069
E05000393,Notting Barns,Kensington and Chelsea,0.77,15035.31,80.94,7.4,60.71,8.95,0.21,106.71,0.210171894,7.80120069
E05000394,Pembridge,Kensington and Chelsea,0.9,15399.59,84.53,4.8,49.43,2.78,0.26,186.92,0.261706404,7.80120069
E05000395,Queen's Gate,Kensington and Chelsea,0.93,16047.93,88.92,4.1,34.07,1.59,0,63.84,0,7.769917653
E05000396,Redcliffe,Kensington and Chelsea,0.91,13396.25,85.05,5,162.96,2.78,0.22,111.74,0.216810097,7.769917653
E05000397,Royal Hospital,Kensington and Chelsea,0.88,8005.55,82.89,4.4,204.12,1.91,0,106.25,0,7.813124329
E05000399,Stanley,Kensington and Chelsea,0.86,12039.22,81.56,4,54.09,2.12,0.12,67.23,0.122414153,7.813124329
E05000400,Alexandra,Kingston upon Thames,0.86,3817.33,82.55,3.9,1186.18,3.39,0.65,62.77,0.647553731,7.510901849
E05000401,Berrylands,Kingston upon Thames,0.87,7354.68,80.78,4.6,152.2,2.32,0.42,45.98,0.422965052,7.510901849
E05000403,Canbury,Kingston upon Thames,0.9,12764.71,83.78,6.1,129.53,1.79,0.16,59.9,0.161299652,7.512590619
E05000404,Chessington North and Hook,Kingston upon Thames,0.85,4825.82,82.98,2.5,582.2,2.61,0.91,62.78,0.913287083,7.510901849
E05000405,Chessington South,Kingston upon Thames,0.85,1469.81,83.72,2.3,5659.87,2.12,1.27,56.88,1.267830716,7.510901849
E05000406,Coombe Hill,Kingston upon Thames,0.87,2569.84,83.1,3.2,1915.76,2.38,0.1,50.67,0.096348392,7.512590619
E05000407,Coombe Vale,Kingston upon Thames,0.86,6359.44,83.68,4.3,177.3,1.96,0,47.7,0,7.512590619
E05000408,Grove,Kingston upon Thames,0.87,6597.92,82.83,4.7,412.6,2.07,0.46,145.09,0.455445139,7.512590619
E05000409,Norbiton,Kingston upon Thames,0.85,8450.3,78.47,5.4,340.25,4.79,0.39,76.76,0.394926407,7.512590619
E05000410,Old Malden,Kingston upon Thames,0.85,5672.58,85.1,2.3,374.53,2.1,0.42,50.52,0.423234142,7.512590619
E05000413,Surbiton Hill,Kingston upon Thames,0.84,6961.54,81.4,3.7,132,1.75,0.19,46.77,0.190817535,7.510901849
E05000414,Tolworth and Hook Rise,Kingston upon Thames,0.85,4218.88,83.95,2.9,921.4,2.56,0.51,61.38,0.507413963,7.510901849
E05000415,Tudor,Kingston upon Thames,0.88,6554.01,86.09,7,235.78,1.92,0.52,55.37,0.520923105,7.512590619
E05000416,Bishop's,Lambeth,0.85,6713.82,79.52,6.4,186.35,6.64,0.41,71.15,0.411516826,7.694809178
E05000417,Brixton Hill,Lambeth,0.83,15048.72,77.96,10.1,90.64,7.75,0.38,121.79,0.376981311,7.593995653
E05000418,Clapham Common,Lambeth,0.91,10469.1,79.63,8.8,301.6,3.76,0.39,132.88,0.387237909,7.593995653
E05000419,Clapham Town,Lambeth,0.88,13724.11,76.66,8.6,168.93,5.01,1.3,249.58,1.29876142,7.593995653
E05000422,Gipsy Hill,Lambeth,0.83,9497.45,80.88,6.2,379.51,7.76,0.73,141.73,0.725901635,7.692148526
E05000423,Herne Hill,Lambeth,0.86,8132.38,80.89,12.5,645,8.15,0.46,95.85,0.461209655,7.593995653
E05000424,Knight's Hill,Lambeth,0.83,10568.91,76.58,4.9,234.13,8.7,0.4,116.82,0.404534169,7.692148526
E05000425,Larkhall,Lambeth,0.84,18520.3,77.55,8.1,180.54,7.12,0.46,157.54,0.461801924,7.694809178
E05000426,Oval,Lambeth,0.85,13567.06,78.84,9.2,256.24,5.97,0.4,134.89,0.395348731,7.694809178
E05000429,Stockwell,Lambeth,0.84,18411.97,80.04,8.7,113.68,8.89,0.4,140.37,0.404150906,7.694809178
E05000430,Streatham Hill,Lambeth,0.84,12575.02,79.19,7.6,135.56,6.23,0.14,128.24,0.139571804,7.692148526
E05000432,Streatham Wells,Lambeth,0.85,11728.46,79.77,5.5,233.91,5.79,0.47,108.86,0.467428838,7.692148526
E05000433,Thornton,Lambeth,0.88,13303.79,81.93,7.9,168.09,5.74,0.72,100.71,0.715169,7.692148526
E05000435,Tulse Hill,Lambeth,0.88,15988.34,80.01,9.6,150.7,10.64,1.07,139.52,1.072922292,7.593995653
E05000436,Vassall,Lambeth,0.85,14916.74,79.66,9.7,210.51,11.15,1.06,140.08,1.055670284,7.694809178
E05000437,Bellingham,Lewisham,0.79,5227.55,78.77,1.9,1400.23,9.07,0.81,122.48,0.809205618,7.73131121
E05000438,Blackheath,Lewisham,0.85,6677.04,80.28,3.9,814.14,4.62,0.5,120.86,0.496783312,7.655520747
E05000439,Brockley,Lewisham,0.86,11341.64,79.2,5.5,248.92,8.32,0.52,142.16,0.522674851,7.713258772
E05000440,Catford South,Lewisham,0.82,8448.61,80.58,2.7,66.69,6.47,0.13,74.4,0.130975998,7.655520747
E05000441,Crofton Park,Lewisham,0.85,9131.32,82.66,5.8,339.4,6.12,1.27,94.1,1.26734645,7.713258772
E05000442,Downham,Lewisham,0.78,6449.98,79.87,1.7,748.44,9.91,0.96,122.29,0.9575535,7.73131121
E05000443,Evelyn,Lewisham,0.84,12607.1,79.03,4.3,380.6,9.7,0.66,125.24,0.660102306,7.713258772
E05000444,Forest Hill,Lewisham,0.85,9085.34,79.52,4.6,267.96,7.46,1.01,109.04,1.00612739,7.73131121
E05000445,Grove Park,Lewisham,0.81,6522.16,79.66,2.2,563.06,6.93,1.16,99.62,1.156313837,7.655520747
E05000446,Ladywell,Lewisham,0.84,9475.45,80,5.8,399.63,5.87,0.21,125.25,0.205925129,7.713258772
E05000447,Lee Green,Lewisham,0.84,8782.75,81.09,3.8,219.3,5.98,0.55,104.46,0.546948146,7.655520747
E05000448,Lewisham Central,Lewisham,0.84,11732.98,77.35,3.4,301.65,8.04,0.63,160.5,0.628205811,7.655520747
E05000449,New Cross,Lewisham,0.83,10356.63,76.14,4.9,363.65,9.68,0.95,173.45,0.948528577,7.713258772
E05000450,Perry Vale,Lewisham,0.84,9888.36,80.54,4.1,207.37,7.04,0.51,113.72,0.510351859,7.73131121
E05000451,Rushey Green,Lewisham,0.81,9799.55,79.42,2.9,434.48,9.03,2.14,129.47,2.137483329,7.655520747
E05000452,Sydenham,Lewisham,0.82,9590.83,77.87,2.8,266.96,8.01,0.38,118.22,0.383082762,7.73131121
E05000453,Telegraph Hill,Lewisham,0.85,11502.59,79.72,6.5,286.47,8.48,0.36,96.47,0.364201688,7.713258772
E05000455,Abbey,Merton,0.87,7750.9,82.13,3.9,255.31,8.91,0.77,80.97,0.771849317,7.52746238
E05000456,Cannon Hill,Merton,0.85,4319.69,84.1,3.3,889.61,2.91,0.54,62.91,0.538423106,7.648017736
E05000457,Colliers Wood,Merton,0.86,10159.32,81.35,4.4,149.83,3.37,0.56,128.88,0.557865046,7.661897012
E05000458,Cricket Green,Merton,0.82,4009.01,79.74,2.4,1436.23,10.08,0.87,84.27,0.868027769,7.661897012
E05000460,Figge's Marsh,Merton,0.82,10589.68,79.06,2.8,270.93,9.03,0.18,119.89,0.177219762,7.661897012
E05000461,Graveney,Merton,0.85,11390.27,82.84,3.1,82.18,6.54,0.3,85.64,0.304393356,7.661897012
E05000462,Hillside,Merton,0.9,7920.61,86.33,2.8,129.27,1.25,0.22,44.32,0.221894856,7.52746238
E05000463,Lavender Fields,Merton,0.85,9475.42,81.8,3.4,223.34,5.63,0.48,97.87,0.484753754,7.661897012
E05000464,Longthornton,Merton,0.83,7292.37,81.03,2.1,480.92,5.73,1.09,86.66,1.09294949,7.661897012
E05000465,Lower Morden,Merton,0.84,5009.96,81.86,2.4,612.91,3.1,0.66,47.02,0.657409282,7.648017736
E05000466,Merton Park,Merton,0.86,5293.89,84.8,4.3,352.83,2.46,0.42,74.77,0.420021112,7.648017736
E05000467,Pollards Hill,Merton,0.84,5000.93,81.09,2.5,1132.1,8.05,0.58,104.92,0.580912839,7.661897012
E05000468,Ravensbury,Merton,0.8,5478.78,78.57,2.3,628.32,6.57,0.6,89.78,0.599503448,7.648017736
E05000469,Raynes Park,Merton,0.88,5506.75,80.5,3.7,424.63,1.75,0.41,60.34,0.409108672,7.648017736
E05000471,Trinity,Merton,0.88,9507.45,81.48,4,167.52,2.64,0.61,129.72,0.609905121,7.52746238
E05000472,Village,Merton,0.8,1378.1,78.32,4.1,1002.51,11.87,0.35,65.23,0.351893203,7.52746238
E05000473,West Barnes,Merton,0.86,5552.54,83.07,3.5,609.11,2.5,0.61,66.28,0.605947107,7.648017736
E05000474,Wimbledon Park,Merton,0.9,5176.96,84.72,4.8,508.1,1.89,0.27,63.95,0.266850512,7.52746238
E05000475,Beckton,Newham,0.83,2565.06,81.72,1.9,2380.1,6.07,3.8,103.39,3.799618423,8.155632411
E05000476,Boleyn,Newham,0.83,19348.25,81.61,1.3,63.3,9.27,1.61,113.99,1.613647882,8.01629452
E05000477,Canning Town North,Newham,0.81,7154.58,78.29,1.4,631.31,14.25,2.14,98.41,2.143193929,8.155632411
E05000478,Canning Town South,Newham,0.81,11027.52,78.27,2,315.25,8.65,1.98,121.96,1.984289953,8.155632411
E05000479,Custom House,Newham,0.82,6922.93,76.13,1.7,515.41,9,3.4,161.49,3.402226475,8.155632411
E05000480,East Ham Central,Newham,0.84,16595.77,81.13,1.2,113.71,8.34,1.68,154.48,1.682554338,7.996928315
E05000481,East Ham North,Newham,0.84,16133.85,76.98,0.8,106.72,9.09,1.5,89.71,1.502223839,7.996928315
E05000482,East Ham South,Newham,0.82,9148.45,78.9,1.5,667.55,9.63,0.89,101.38,0.891592755,7.996928315
E05000483,Forest Gate North,Newham,0.83,13662.12,79.1,2.9,170.76,8.67,0.61,115.44,0.61013529,7.643297659
E05000484,Forest Gate South,Newham,0.84,15895.13,77.6,2.2,39.64,9.77,1.2,134.52,1.199737113,7.643297659
E05000485,Green Street East,Newham,0.84,23619.11,82.24,1,11.28,9.38,0.62,83.68,0.624423633,8.01629452
E05000486,Green Street West,Newham,0.82,20556.52,81.17,1,46.74,9.74,0.92,92.88,0.918848486,8.01629452
E05000487,Little Ilford,Newham,0.81,9523.96,77.59,1.1,852.9,11.78,1.19,94.71,1.192685553,7.996928315
E05000488,Manor Park,Newham,0.83,11965.93,78.31,1.6,390.34,10.75,0.78,95.25,0.777044215,7.996928315
E05000489,Plaistow North,Newham,0.81,17212.03,79.39,1.8,115.49,11.03,0.96,92.47,0.961761739,8.01629452
E05000490,Plaistow South,Newham,0.84,13025.25,79.89,1.8,265.24,10.55,0.85,100.66,0.846534819,8.01629452
E05000491,Royal Docks,Newham,0.92,3218.86,79.83,1.8,540.95,5.54,2.04,97.48,2.04342473,8.155632411
E05000492,Stratford and New Town,Newham,0.87,7375.03,79.23,2.4,812.84,6.96,1.23,153.42,1.228147945,7.643297659
E05000493,Wall End,Newham,0.83,11670.78,80.98,0.9,411.47,8.06,0.73,80.27,0.734936437,7.996928315
E05000494,West Ham,Newham,0.83,12498.13,79.8,2.1,334.43,10.38,0.77,94.84,0.765401793,7.643297659
E05000495,Aldborough,Redbridge,0.82,1856.6,80.64,0.6,6543.32,5.09,0.48,110.21,0.477141931,7.755007322
E05000496,Barkingside,Redbridge,0.82,8891.29,84.93,0.7,64.82,4.01,0.31,85.46,0.314494284,7.755007322
E05000497,Bridge,Redbridge,0.84,4879.02,84.02,1.1,981.56,4.31,0.77,89.46,0.765335516,7.793614138
E05000498,Chadwell,Redbridge,0.84,10628.14,80.15,0.9,144.91,6.22,0.21,84.48,0.208605865,7.755007322
E05000499,Church End,Redbridge,0.86,8601.21,82.5,1.9,189.34,3.5,0.52,107.36,0.516515078,7.793614138
E05000500,Clayhall,Redbridge,0.83,5550.38,84.61,0.6,618.26,3.7,0.3,72.52,0.299483304,7.755007322
E05000501,Clementswood,Redbridge,0.83,13893,80.51,0.6,88.28,9.33,1.22,147.45,1.216730049,7.842634363
E05000502,Cranbrook,Redbridge,0.82,5719.87,79.98,0.9,900.3,4.87,0.54,102.65,0.543000958,7.842634363
E05000503,Fairlop,Redbridge,0.83,3760.99,81.29,0.6,1887.88,5.16,1.81,98.08,1.805335386,7.793614138
E05000504,Fullwell,Redbridge,0.81,6316.7,83.05,0.8,569.39,5.68,1.84,93.88,1.842970607,7.793614138
E05000505,Goodmayes,Redbridge,0.83,8686.89,80.68,0.8,382.69,8.04,0.76,108.31,0.758561945,7.755007322
E05000506,Hainault,Redbridge,0.78,2467.56,80.96,1,3402.26,8,2.6,95.95,2.602207719,7.793614138
E05000507,Loxford,Redbridge,0.81,14557.89,77.2,0.7,248.82,10.76,0.9,118.91,0.898843634,7.842634363
E05000508,Mayfield,Redbridge,0.83,7910.83,81.07,0.9,290.9,6.85,0.36,93.59,0.362552884,7.842634363
E05000509,Monkhams,Redbridge,0.85,3685.85,82.6,1.5,1090.35,1.95,0.29,69.55,0.285366899,7.793614138
E05000510,Newbury,Redbridge,0.83,8539.44,83.03,0.8,460.78,6.1,0.53,84.4,0.532355695,7.755007322
E05000512,Seven Kings,Redbridge,0.83,7989.43,79.83,0.8,503.59,7.46,0.46,86.64,0.457633358,7.755007322
E05000514,Valentines,Redbridge,0.83,10492.68,81.5,1.1,143.17,8.66,0.77,143.72,0.772145483,7.842634363
E05000515,Wanstead,Redbridge,0.83,2429.59,81.94,3.2,3228.48,2.99,1.46,139.71,1.460036238,7.793614138
E05000516,Barnes,Richmond upon Thames,0.88,3435.22,85.57,7.6,969.22,2.18,0.19,77.81,0.193665404,7.619581754
