Codes,Names,Borough,health,population per square kilometre,life expectancy,travel by bicycle,area of greenspace,unemployment rate,"homes with access to open space, nature, and greenspace",crime rate,deliberate fires,subjective well-being average score
E05000078,Longlands,Bexley,0.82,4206.79,81.02,1.3,34.43,2.79,0.38,43.31,0.381747055,7.835642035
E05000079,North End,Bexley,0.82,2300.58,78.38,1.3,53.99,8.59,2.33,92.63,2.326376323,7.822060383
E05000080,Northumberland Heath,Bexley,0.82,6207.6,82.11,1.2,15.97,3.53,0.66,56.37,0.658223704,7.822060383
E05000083,Sidcup,Bexley,0.81,4458.92,80.68,1.2,816.03,1.99,0.28,47.28,0.275696428,7.835642035
E05000084,Thamesmead East,Bexley,0.85,2782.3,78.03,1.3,2302.36,9.46,2.22,67.72,2.224811357,7.822060383
E05000085,Alperton,Brent,0.84,8254.13,81.58,1.7,349.33,4.63,0.64,95.78,0.640051704,7.370893963
E05000086,Barnhill,Brent,0.83,5579.83,79.12,0.5,981.34,6.79,0.25,91.12,0.25281384,7.375101879
E05000087,Brondesbury Park,Brent,0.83,7914.63,82.94,4.8,197.52,5.43,0.15,128.99,0.153089913,7.635363297
E05000088,Dollis Hill,Brent,0.82,6426.89,85.59,1.5,503.27,8.09,0.59,85.12,0.594023074,7.635363297
E05000091,Harlesden,Brent,0.83,15248.43,79.17,3.5,92.87,23.51,0.76,168.83,0.755097578,7.375101879
E05000092,Kensal Green,Brent,0.83,13756.47,83.08,5.4,93.71,12.96,0.27,146.4,0.267340254,7.375101879
E05000093,Kenton,Brent,0.82,5508.89,86.36,0.7,352.04,2.56,0,80.51,0,7.370893963
E05000094,Kilburn,Brent,0.82,19582.63,80.65,5.8,108.68,13.05,0.18,151.59,0.176027719,7.635363297
E05000095,Mapesbury,Brent,0.85,11746.77,80.83,3.5,124.27,7.39,0.19,129.28,0.19257743,7.635363297
E05000096,Northwick Park,Brent,0.85,4780.02,82,1,793.2,3.11,0.23,65.79,0.233434932,7.370893963
E05000097,Preston,Brent,0.85,6782.46,82.89,1.1,431.39,4.9,0.06,92.69,0.064420639,7.370893963
E05000098,Queens Park,Brent,0.85,10839.49,82.17,7.4,264.16,6.73,0.2,126.89,0.195702828,7.635363297
E05000099,Queensbury,Brent,0.82,9110.73,82.53,0.5,336.99,4.3,0.26,99.72,0.263106558,7.370893963
E05000100,Stonebridge,Brent,0.8,4723.06,79.69,2,926.38,13.67,1,89.36,1.002565492,7.375101879
E05000101,Sudbury,Brent,0.84,7582.63,82.08,1.1,719.78,5.88,0.47,98.95,0.466750154,7.370893963
E05000102,Tokyngton,Brent,0.81,6404.12,80.25,1.2,516.5,4.88,0.13,98.68,0.131988742,7.370893963
E05000103,Welsh Harp,Brent,0.82,6190.31,81.83,1.2,518.15,7.47,0.22,104.77,0.217446005,7.375101879
E05000104,Wembley Central,Brent,0.83,10559.58,82.57,1.2,345.28,6.21,0.68,146.23,0.676882577,7.370893963
E05000105,Willesden Green,Brent,0.84,10855.85,78.96,3.1,495.48,8.74,1.15,144.42,1.15116504,7.635363297
E05000106,Bickley,Bromley,0.85,3341.96,80.75,1.3,1077.03,2.15,0.59,54.59,0.593787043,7.82732393
E05000107,Biggin Hill,Bromley,0.85,1298.6,83.84,0.5,5749.71,2.66,0.6,59.78,0.600609438,8.157906734
E05000108,Bromley Common and Keston,Bromley,0.84,2142.65,83.42,1.5,5009.89,3.84,1.05,60.43,1.054573682,8.157906734
E05000109,Bromley Town,Bromley,0.86,5195.27,80.91,1.7,756.49,3.43,0.89,88.52,0.8880103,7.82732393
E05000110,Chelsfield and Pratts Bottom,Bromley,0.86,1217.96,83.88,1,8984.21,2.08,0.48,45.67,0.480649016,7.583747282
E05000111,Chislehurst,Bromley,0.85,1606.37,82,1.2,6154.71,2.85,1.48,85.72,1.47761018,7.82732393
E05000112,Clock House,Bromley,0.85,7408.21,81.9,2.1,419.54,3.79,0.58,75.64,0.576156605,7.635500083
E05000113,Copers Cope,Bromley,0.86,5090.69,81.34,1.7,779.77,3,0.39,96.49,0.388296811,7.635500083
E05000116,Crystal Palace,Bromley,0.82,5895.33,78.24,3.2,889.51,7.92,4.23,154.42,4.226663335,7.635500083
E05000117,Darwin,Bromley,0.84,191.36,82.84,0.9,26113.24,1.63,1.56,66.42,1.55946889,8.157906734
E05000118,Farnborough and Crofton,Bromley,0.84,2173.41,84.66,1.1,3528.01,2.31,0.75,39.81,0.748853081,7.583747282
E05000119,Hayes and Coney Hall,Bromley,0.86,1539.06,83.25,1.6,7220.57,2.42,1.13,47.46,1.127247175,8.157906734
E05000120,Kelsey and Eden Park,Bromley,0.86,3232.69,85.14,1.8,2175.4,2.89,0.69,88.47,0.689480134,7.635500083
E05000121,Mottingham and Chislehurst North,Bromley,0.8,4333.2,80.06,1.1,1052.25,7.13,1,135.24,0.997407383,7.82732393
E05000122,Orpington,Bromley,0.82,3687.27,82.8,1,952.82,4.76,0.85,84.47,0.845760551,7.583747282
E05000123,Penge and Cator,Bromley,0.83,6181.26,80.56,2.5,729.75,7.42,2.53,116.16,2.529659076,7.635500083
E05000124,Petts Wood and Knoll,Bromley,0.86,3360.76,86.07,0.9,961.98,2.05,0.15,51.73,0.145939602,7.583747282
E05000125,Plaistow and Sundridge,Bromley,0.83,4117.21,80.11,1.9,1670.28,4.56,0.79,81.35,0.790459532,7.82732393
E05000126,Shortlands,Bromley,0.87,4240.23,86.15,1.4,220.7,1.62,0.1,40.02,0.101395639,7.635500083
E05000127,West Wickham,Bromley,0.86,3458.19,83.35,1.2,1390.12,2.25,0.33,51.5,0.334624682,8.157906734
E05000128,Belsize,Camden,0.89,18529.49,85.58,4.9,49.86,3.21,0.24,88.2,0.23643867,7.731649684
E05000129,Bloomsbury,Camden,0.86,12024.49,82.28,5,90.38,4.18,0.37,75.18,0.367639121,7.503482145
E05000130,Camden Town with Primrose Hill,Camden,0.83,11968.27,82.45,8.6,164.27,5.43,0.32,252.46,0.317476041,7.731649684
